Name,Value,Type,Token Name,Token,Index
Personal 3 Month CD - Interest Rate ,0.05,rates,personal-3-month-cd---interest-rate,[rates:personal-3-month-cd---interest-rate],52
Personal 6 Month CD - Interest Rate,0.25,rates,personal-6-month-cd---interest-rate,[rates:personal-6-month-cd---interest-rate],52
Personal 11 Month CD - Interest Rate,4.74,rates,personal-11-month-cd---interest-rate,[rates:personal-11-month-cd---interest-rate],52
Personal 12 Month CD - Interest Rate,0.50,rates,personal-12-month-cd---interest-rate,[rates:personal-12-month-cd---interest-rate],52
Personal 13 Month CD - Interest Rate,1.60,rates,personal-13-month-cd---interest-rate,[rates:personal-13-month-cd---interest-rate],52
Personal 14 Month CD - Interest Rate,,rates,personal-14-month-cd---interest-rate,[rates:personal-14-month-cd---interest-rate],52
Personal 18 Month CD - Interest Rate,3.47,rates,personal-18-month-cd---interest-rate,[rates:personal-18-month-cd---interest-rate],52
Personal 24 Month CD - Interest Rate,0.60,rates,personal-24-month-cd---interest-rate,[rates:personal-24-month-cd---interest-rate],52
Personal 26 Month CD - Interest Rate,,rates,personal-26-month-cd---interest-rate,[rates:personal-26-month-cd---interest-rate],52
Personal 36 Month CD - Interest Rate,0.60,rates,personal-36-month-cd---interest-rate,[rates:personal-36-month-cd---interest-rate],52
Personal 48 Month CD - Interest Rate,0.60,rates,personal-48-month-cd---interest-rate,[rates:personal-48-month-cd---interest-rate],52
Personal 60 Month CD - Interest Rate,0.60,rates,personal-60-month-cd---interest-rate,[rates:personal-60-month-cd---interest-rate],52
Personal 84 Month CD - Interest Rate,0.25,rates,personal-84-month-cd---interest-rate,[rates:personal-84-month-cd---interest-rate],52
Personal 3 Month CD,0.05,apy,personal-3-month-cd,[apy:personal-3-month-cd],52
Personal 6 Month CD,0.25,apy,personal-6-month-cd,[apy:personal-6-month-cd],52
Personal 11 Month CD  ,4.75,apy,personal-11-month-cd,[apy:personal-11-month-cd],52
Personal 12 Month CD,0.50,apy,personal-12-month-cd,[apy:personal-12-month-cd],52
